Monday
New Delhi to Mumbai
NM510 07:30 09:30 350 350 2050.0 150 150 3500.0
NM621 10:00 11:30 400 400 2000.0 100 100 3250.0
NM782 14:00 15:00 250 250 5000.0 100 100 8000.0
NM113 17:00 18:30 300 300 3000.0 150 150 4000.0
NM023 21:00 22:30 400 400 3500.0 100 100 6000.0
NM215 23:00 01:00 320 320 2050.0 150 150 3500.0
Mumbai to New Delhi
MN216 07:00 320 320 2050.0 150 150 3500.0
MN024 10:00 400 400 3500.0 100 100 6000.0
MN114 14:00 300 300 3000.0 150 150 4000.0
MN783 17:00 250 250 5000.0 100 100 8000.0
MN622 21:00 400 400 2000.0 100 100 3250.0
MN511 23:30 350 350 2050.0 150 150 3500.0
New Delhi to Hyderabad
NH415 06:00 350 350 3000.0 150 150 4000.0
NH213 11:00 400 400 2050.0 100 100 3250.0
NH124 14:00 300 300 2500.0 150 150 3700.0
NH222 17:00 350 350 3000.0 120 120 4500.0
NH984 21:00 200 200 5000.0 80 80 8000.0
NH658 23:30 500 500 2150.0 200 200 3250.0
Hyderabad to New Delhi
HN658 23:30 500 500 2150.0 200 200 3250.0
HN984 21:00 200 200 5000.0 80 80 8000.0
HN222 17:00 350 350 3000.0 120 120 4500.0
HN124 14:00 300 300 2500.0 150 150 3700.0
HN213 11:00 400 400 2050.0 100 100 3250.0
HN415 06:00 350 350 3000.0 150 150 4000.0



